x86_64 Darwin Kernel Version 18.7.0: Mon Apr 27 20:09:39 PDT 2020; root:xnu-4903.278.35~1/RELEASE_X86_64 localhost;
Benchmark;Best;Armed Bear Common Lisp 1.7.0;CLISP 2.49.93+ (2018-02-18) (built on karsten-poecks-macbook-pro.local [172.17.2.4]);CMU Common Lisp 21d (21D Unicode);ECL 20.4.24;International Allegro CL Free Express Edition 10.1 [32-bit Mac OS X (Intel)] (Jun 6, 2020 14:06);LispWorks Personal Edition 7.1.2;SBCL 2.0.4;clasp cclasp-boehm-0.4.2-2692-g00d68d383-cst;
Date;;20200607T1531;20200607T1518;20200607T1506;20200607T1501;20200607T1457;20200607T1537;20200607T1510;20200607T1607;
3D-ARRAYS;      0,47;     13,58;     19,62;      2,08;      8,91;;;      0,47;     10,34;
BITVECTORS;      0,17;      0,17;      2,04;      0,27;      1,62;      0,49;;      0,18;      0,33;
BENCH-STRINGS;      0,33;      4,76;      7,68;      0,60;      2,64;      0,40;;      0,94;      0,33;
fill-strings/adjustable;      1,70;      2,61;     11,44;      8,00;      2,00;      5,57;;      1,70;      7,28;
STRING-CONCAT;     15,22;     47,75;     84,07;     44,78;     26,26;;;     15,22;     27,86;
SEARCH-SEQUENCE;      0,47;      0,95;      3,52;      0,97;      1,52;      0,73;;      0,47;      3,89;
CLOS/defclass;      0,06;      0,80;      0,30;      2,65;      0,20;      0,06;      0,08;      0,14;      3,02;
CLOS/defmethod;      0,07;      0,50;      0,09;      2,56;      0,18;      0,12;      0,07;      0,78;      5,69;
CLOS/instantiate;      0,38;      4,76;      1,73;      4,49;      4,68;      0,64;      0,71;      0,38;      3,13;
CLOS/simple-instantiate;      0,05;     13,96;      1,03;      0,09;     13,29;      0,07;      0,15;      0,05;      0,92;
CLOS/methodcalls;      0,52;      4,47;      1,95;      0,52;      2,08;      0,83;      0,69;      2,66;    172,87;
CLOS/method+after;      0,44;      3,11;      1,40;      1,82;      1,57;      0,46;      0,44;      0,44;     78,80;
CLOS/complex-methods;      0,02;      2,85;      0,02;      0,03;      0,78;      0,16;      0,10;      0,46;      0,68;
EQL-SPECIALIZED-FIB;      0,07;      0,51;      0,83;      0,17;      1,97;      0,14;      0,13;      0,07;     38,42;
